last_name, first_name,player_id,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,
Sanchez, Yolmer,570560,2016,64.7,19.5,36.7,30,70,36,120,53.3,327,78.9,36,185,46.7,286,
Moya, Steven,570615,2016,81.9,21.4,42.2,47.7,52.3,52,109,60.1,258,78.6,30,140,39.9,171,
Urena, Jose,570632,2016,47.6,35,42.9,40,40,6,15,45.5,35,45,7,20,54.5,42,
Flores, Ramon,570717,2016,64.4,12.8,23.1,26.5,72.8,39,147,52.8,637,86.4,47,367,47.2,570,
Schoop, Jonathan,570731,2016,79.3,18.8,41.9,47.1,52.9,225,478,51.1,1140,81.2,163,865,48.9,1091,
Adams, Matt,571431,2016,68.6,17.6,38.4,38.3,61.3,115,300,58.5,782,82.4,67,381,41.5,555,
Altherr, Aaron,571437,2016,60.5,19.4,27.6,47.8,50.7,64,134,52.3,486,80.2,52,268,47.7,443,
Arenado, Nolan,571448,2016,67,12.7,32,29.9,70.1,141,471,53.8,1473,87.3,108,848,46.2,1266,
Barnhart, Tucker,571466,2016,72.2,14.8,25,35.6,64.4,72,202,53.6,809,84.6,75,506,46.4,701,
Bour, Justin,571506,2016,62.9,17.9,28.7,35.7,64.3,76,213,58.2,743,82.1,60,336,41.8,534,
Ceciliani, Darrell,571553,2016,67.2,25.6,29.3,58.8,41.2,10,17,50,58,71.8,10,39,50,58,
Corbin, Patrick,571578,2016,63.9,19.4,43.1,41.9,58.1,13,31,42.6,72,75.8,12,62,57.4,97,
Fuentes, Rey,571681,2016,67.9,7.3,28,34.8,65.2,8,23,50.3,82,90.9,4,55,49.7,81,
Gennett, Scooter,571697,2016,73.4,15.4,33,34.9,62.4,128,367,54.8,1112,83.3,104,675,45.2,919,
Goodwin, Brian,571718,2016,61.9,15,34.6,66.7,33.3,18,27,44.6,78,83.3,9,60,55.4,97,
Hamilton, Billy,571740,2016,65.5,13.9,24.2,32.1,65.1,67,209,48.7,863,82.9,83,596,51.3,910,
Haniger, Mitch,571745,2016,62,13.8,22.6,53.7,46.3,29,54,48.1,239,86.3,22,160,51.9,258,
Hazelbaker, Jeremy,571757,2016,69.8,17,32,41.7,56.8,55,132,49.9,412,82.4,49,289,50.1,414,
Hernandez, Enrique,571771,2016,63.9,17.7,27.1,52.6,46.7,71,135,52.5,498,81.9,51,288,47.5,451,
Holt, Brock,571788,2016,54.4,4,23.3,26.8,72.6,45,168,51.4,722,96,15,372,48.6,684,
Jensen, Kyle,571812,2016,57.6,23.7,27.7,52.2,47.8,12,23,55.7,83,76.3,9,38,44.3,66,
Joseph, Tommy,571830,2016,70.6,16.1,33.8,35.5,64.5,86,242,54.2,716,83.9,69,428,45.8,606,
Kelly, Ty,571841,2016,58.5,11.4,23.7,22,78,9,41,56.2,173,88.6,9,79,43.8,135,
Lamb, Jake,571875,2016,64.2,18.6,25.3,52.5,47.5,169,322,52.8,1274,81.2,136,730,47.2,1137,
Maile, Luke,571912,2016,68.7,21,27.8,53.7,44.8,36,67,49.8,241,77.2,35,167,50.2,243,
Marrero, Deven,571918,2016,56.5,30.8,27.3,55.6,44.4,5,9,58.9,33,69.2,4,13,41.1,23,
Matz, Steven,571927,2016,57.9,11.4,39.2,48.3,51.7,14,29,49.3,74,81.8,5,44,50.7,76,
Miller, Shelby,571946,2016,46.9,28.9,30.6,53.3,33.3,8,15,37.7,49,63.2,11,38,62.3,81,
Muncy, Max,571970,2016,55,15.4,17.3,38.8,59.2,19,49,51.2,284,84.6,23,149,48.8,271,
Murphy, John Ryan,571974,2016,65.7,16.9,24.5,36.8,63.2,14,38,43.9,155,82.3,22,130,56.1,198,
Myers, Wil,571976,2016,57.7,17.6,24.9,30.8,69.2,115,373,51.9,1498,82.4,141,800,48.1,1386,
Naquin, Tyler,571980,2016,71.3,27.2,33.9,38.4,61.6,108,281,54.7,829,72.6,133,489,45.3,686,
Owings, Chris,572008,2016,68.8,12.9,34.4,38.9,58.2,107,275,49.3,800,86.6,73,567,50.7,824,
Paulsen, Ben,572019,2016,77.1,21.5,37.3,37.5,62.5,27,72,52.4,193,77.8,29,135,47.6,175,
Phegley, Josh,572033,2016,68.3,8.2,37.3,41.3,58.7,26,63,54.3,169,91.8,8,97,45.7,142,
Piscotty, Stephen,572039,2016,72.5,18.8,33.1,40.3,59.7,169,419,51,1265,81,166,881,49,1216,
Pollock, AJ,572041,2016,56.2,12.2,18.8,31.3,68.8,5,16,53.8,85,87.8,5,41,46.2,73,
Rickard, Joey,572073,2016,54.7,10,26.6,24.7,73.4,38,154,47.4,579,89.7,35,351,52.6,642,
Schimpf, Ryan,572114,2016,64.8,21.6,23.3,45,55,81,180,52.9,771,78.4,96,445,47.1,687,
Seager, Kyle,572122,2016,61,13.2,24.5,30.9,68.5,100,324,51.7,1324,86.2,100,755,48.3,1237,
Shaffer, Richie,572128,2016,70.1,33.3,29.8,72,28,18,25,44,84,65.3,25,75,56,107,
Susac, Andrew,572180,2016,75.6,32.3,15.6,60,40,3,5,43.8,32,67.7,10,31,56.2,41,
Taylor, Michael A.,572191,2016,69.8,29.3,27.7,44.6,53.7,54,121,49,437,69.7,93,317,51,454,
Thompson, Trayce,572204,2016,66,17.4,22.5,43.3,56.7,55,127,52.3,564,82.6,59,340,47.7,515,
Zunino, Mike,572287,2016,67.7,29.8,28,55.5,44.5,66,119,53.3,425,69.8,75,252,46.7,372,
Goins, Ryan,572365,2016,61.1,17.4,30.9,35.5,64.5,39,110,49.9,356,81.7,38,218,50.1,357,
Butler, Eddie,572750,2016,65.1,10.7,47.6,40,50,4,10,32.8,21,82.1,3,28,67.2,43,
Carpenter, Matt,572761,2016,57.2,10.3,22.5,38.4,60.6,111,289,53.8,1285,89.1,65,632,46.2,1105,
Dickerson, Corey,572816,2016,74.8,26.8,41,32.5,67.3,157,483,55.8,1178,73.2,187,698,44.2,933,
Dozier, Brian,572821,2016,61.3,18,28.2,33.3,65.6,139,418,53.2,1484,81.8,144,800,46.8,1304,
Garneau, Dustin,572863,2016,71.6,15.8,29.3,51.3,43.6,20,39,48.5,133,82.2,16,101,51.5,141,
Renda, Tony,573113,2016,68.5,15.3,21.8,38.5,61.5,10,26,49,119,83.5,13,85,51,124,
Ruf, Darin,573131,2016,61.2,17.4,32.4,45.5,54.5,25,55,48.9,170,82.6,19,109,51.1,178,
Saladino, Tyler,573135,2016,66.5,10.6,28.5,31.9,65.7,53,166,47.2,583,89.2,46,434,52.8,653,
Straily, Dan,573185,2016,55.6,32,29.5,48.4,25.8,15,31,43.8,105,49.3,24,75,56.3,135,
Vargas, Kennys,573627,2016,60.3,23.8,23.5,46.8,53.2,44,94,53,400,76.2,51,214,47,355,
Segedin, Rob,574847,2016,79.5,26.7,28.7,39.2,60.8,20,51,54.1,178,73.3,32,120,45.9,151,
Contreras, Willson,575929,2016,64.9,25.4,32.8,40.7,58.8,81,199,53.8,607,74,86,339,46.2,522,
Gyorko, Jedd,576397,2016,69.7,18.1,27.8,46.8,53.2,111,237,50.2,854,81.9,107,590,49.8,846,
Iglesias, Jose,578428,2016,54.4,4.7,35.3,19,79.9,67,353,50.3,999,93.1,25,537,49.7,988,
Querecuto, Juniel,578570,2016,57.1,8.3,44,45.5,54.5,5,11,54.3,25,91.7,1,12,45.7,21,
Travis, Devon,581527,2016,61.9,10.7,36.5,30.4,69,93,306,48.6,839,88.7,59,549,51.4,887,
Hechavarria, Adeiny,588751,2016,66.9,11,33.3,26.1,71.1,86,329,49.8,988,88.6,73,665,50.2,994,
Hernandez, Oscar,591712,2016,83.3,6.7,45.8,18.2,81.8,2,11,57.1,24,93.3,1,15,42.9,18,
Torreyes, Ronald,591720,2016,69.8,9.4,32.4,26.1,72.7,23,88,48.3,272,88.7,19,203,51.7,291,
Austin, Tyler,592122,2016,70.7,30.1,28.1,65.4,34.6,34,52,49.6,185,69.9,40,133,50.4,188,
Bryant, Kris,592178,2016,72.1,21.3,28.6,42.6,57.4,179,420,54.3,1466,78.7,189,889,45.7,1233,
Canha, Mark,592192,2016,63.4,30.8,40,38.9,61.1,14,36,52.3,90,69.2,16,52,47.7,82,
Casali, Curt,592200,2016,63.7,22.7,24,54.4,45.6,68,125,48.8,520,77,79,348,51.2,546,
Castellanos, Nick,592206,2016,73.6,18.8,35.4,49.4,50.6,156,316,51.6,892,81.2,116,616,48.4,837,
Cowart, Kaleb,592230,2016,72.8,15.3,43.8,43.4,56.6,23,53,42.8,121,84.7,18,118,57.2,162,
Cunningham, Todd,592239,2016,69.6,10.3,23.6,23.1,69.2,3,13,49.5,55,89.7,4,39,50.5,56,
DeShields, Delino,592261,2016,56.7,17.5,27.6,49.5,43.9,53,107,46.6,387,78.5,44,251,53.4,443,
Drury, Brandon,592273,2016,59.2,12.5,31,42.1,57.9,130,309,51.2,997,87.5,70,562,48.8,950,
Foltynewicz, Mike,592314,2016,61.3,19.6,50,64.7,32.4,22,34,47.6,68,65.2,9,46,52.4,75,
Gamel, Ben,592325,2016,63.6,15.7,24.8,48.1,48.1,13,27,49.8,109,82.9,11,70,50.2,110,
Gray, Jon,592351,2016,53.8,26.6,30.9,65.5,24.1,19,29,44.1,94,57.8,17,64,55.9,119,
Healy, Ryon,592387,2016,55.2,13.5,33.8,35.7,64.3,65,182,50.1,539,86.5,40,296,49.9,536,
Holaday, Bryan,592407,2016,68.7,19.9,31.6,29.6,69,21,71,44.7,225,79.1,38,191,55.3,278,
Hoying, Jared,592419,2016,71.1,10.1,33,45.5,54.5,15,33,50.8,100,89.9,7,69,49.2,97,
Jenkins, Tyrell,592433,2016,65.4,0,44.4,0,50,0,8,40.9,18,70.6,0,17,59.1,26,
Jones, JaCoby,592444,2016,71.2,37.8,42.6,47.8,47.8,11,23,50.9,54,62.2,14,37,49.1,52,
Judge, Aaron,592450,2016,63,29.4,30.6,65.7,34.3,44,67,53.7,219,70.6,35,119,46.3,189,
Machado, Manny,592518,2016,70,14.7,30.7,38,62,157,413,52.5,1346,85.1,125,852,47.5,1217,
Moran, Colin,592567,2016,79.6,28.2,28.6,21.4,78.6,3,14,50,49,71.8,11,39,50,49,
Nicholas, Brett,592592,2016,58,25.5,30.9,40,60,12,30,52.4,97,74.5,13,51,47.6,88,
Nicolino, Justin,592593,2016,60.8,12.9,45.2,42.1,57.9,8,19,45.2,42,74.2,4,31,54.8,51,
Parker, Jarrett,592620,2016,66.8,22.7,25.4,51.4,48.6,38,74,48.9,291,77.3,46,203,51.1,304,
Pederson, Joc,592626,2016,62.2,17.7,25.6,42.3,56.9,119,281,56,1099,80.4,95,536,44,862,
Ray, Robbie,592662,2016,70.8,21.3,42.2,50,43.5,23,46,50.7,109,66.7,16,75,49.3,106,
Realmuto, J.T.,592663,2016,66,13.1,30.4,33.3,66.7,109,327,50.2,1076,86.5,92,704,49.8,1066,
Renfroe, Hunter,592669,2016,82.8,14.6,32.4,21.7,78.3,5,23,55,71,85.4,7,48,45,58,
Rivera, Yadiel,592680,2016,66.7,19.4,26.7,50,50,16,32,44.9,120,79.6,19,98,55.1,147,
Rosario, Eddie,592696,2016,76.7,21.8,40.5,38.3,59.9,108,282,53,696,76.7,103,473,47,617,
Rutledge, Josh,592710,2016,58.4,19.7,33.3,38.9,55.6,14,36,48.9,108,80.3,13,66,51.1,113,
Sanchez, Aaron,592717,2016,53.8,28.6,26.3,60,40,3,5,59.4,19,57.1,2,7,40.6,13,
Selsky, Steve,592731,2016,60.2,32.1,31.1,51.4,48.6,19,37,57.5,119,67.9,17,53,42.5,88,
Simmons, Andrelton,592743,2016,69.4,8.3,26.2,23.2,75.8,48,207,49.9,790,91.1,46,551,50.1,794,
Stewart, Brock,592779,2016,56.5,23.1,56.3,66.7,33.3,6,9,41,16,76.9,3,13,59,23,
Syndergaard, Noah,592789,2016,67.5,32.9,30.5,76.7,20.9,33,43,52.8,141,61.2,28,85,47.2,126,
Taillon, Jameson,592791,2016,61.1,22.7,41.9,66.7,27.8,12,18,37.4,43,59.1,10,44,62.6,72,
Toles, Andrew,592808,2016,82,15.3,35.3,46.2,53.8,36,78,57,221,83.9,21,137,43,167,
Velasquez, Vince,592826,2016,71.9,23.2,26.9,50,50,9,18,41.1,67,69.6,16,69,58.9,96,
Waldrop, Kyle,592835,2016,85.7,11.1,39.6,61.9,38.1,13,21,55.8,53,88.9,4,36,44.2,42,
Williams, Mason,592863,2016,62.3,12.1,34,55.6,44.4,10,18,50,53,84.8,4,33,50,53,
Yelich, Christian,592885,2016,63.2,13.9,21.2,50.5,49.5,158,313,54.4,1478,85.9,109,782,45.6,1237,
Merrifield, Whit,593160,2016,62.1,12,34.1,35.2,62.4,74,210,48.9,615,86.7,48,399,51.1,643,
Martinez, Carlos,593372,2016,69.7,16.1,58,37.3,58.8,19,51,49.7,88,80.6,10,62,50.3,89,
Bogaerts, Xander,593428,2016,58.5,11.6,32.5,34.8,65.2,162,466,50.4,1435,88.3,96,827,49.6,1414,
Castro, Daniel,593495,2016,59.8,13.6,41.1,21.2,76.9,22,104,48.3,253,84.6,22,162,51.7,271,
Hernandez, Marco,593523,2016,77.9,16.2,32.3,38.7,58.1,12,31,50.3,96,83.8,12,74,49.7,95,
Alberto, Hanser,593643,2016,69,15.5,63.4,35.6,62.7,21,59,52.5,93,81,9,58,47.5,84,
Brito, Socrates,593647,2016,74.7,11.8,38.8,40.6,58,28,69,49.4,178,86.8,16,136,50.6,182,
Hanson, Alen,593700,2016,77.2,9.1,27.1,30.8,69.2,4,13,45.7,48,86.4,4,44,54.3,57,
Polanco, Jorge,593871,2016,56.7,9.7,31,29.7,70.3,52,175,53.5,564,89.2,27,278,46.5,490,
Sano, Miguel,593934,2016,60.4,24.8,22.8,62.5,37.5,155,248,51.8,1087,75.2,152,612,48.2,1013,
Difo, Wilmer,594694,2016,73.7,17.9,27.6,41.2,58.8,14,34,51.9,123,81,15,84,48.1,114,
Asher, Alec,594742,2016,41.4,33.3,27.8,80,20,4,5,38.3,18,66.7,4,12,61.7,29,
Blair, Aaron,594760,2016,42.9,19,40,60,30,6,10,33.8,25,66.7,4,21,66.2,49,
Calhoun, Kole,594777,2016,73,15.6,29.5,46.1,53.9,182,395,53.7,1338,84.3,131,841,46.3,1152,
deGrom, Jacob,594798,2016,72.4,12.7,36.5,35.5,54.8,11,31,52.8,85,81.8,7,55,47.2,76,
Duvall, Adam,594807,2016,68.3,18.3,32.8,45.7,54.3,175,383,52.4,1166,81.7,132,723,47.6,1058,
Eaton, Adam,594809,2016,66.7,12.1,29.5,27.6,70.1,111,402,51.1,1364,85.5,105,871,48.9,1306,
Garcia, Greg,594824,2016,62.9,7.5,17.8,41.4,58.6,41,99,53.5,557,91.1,23,305,46.5,485,
Gattis, Evan,594828,2016,65.9,19.3,29.1,38.6,61.4,120,311,56.1,1067,80.9,106,550,43.9,834,
Gosselin, Phil,594838,2016,55.8,9.8,29.6,38.7,60.5,48,124,48.9,419,88.9,24,244,51.1,437,
Schebler, Scott,594988,2016,75.4,20.2,32.3,48.9,50.5,90,184,54.7,569,78.7,72,356,45.3,472,
Smith, Josh A.,595001,2016,71.4,40,23.8,20,60,1,5,50,21,60,6,15,50,21,
Walsh, Colin,595023,2016,52.2,26.8,16.4,56,44,14,25,52.8,152,73.2,19,71,47.2,136,
Eickhoff, Jerad,595191,2016,77.4,9.2,41.1,38.5,59,15,39,53.1,95,84.6,6,65,46.9,84,
Kiermaier, Kevin,595281,2016,66.5,17.7,26.3,35.5,63.2,82,231,54.6,880,79,86,486,45.4,731,
Rogers, Jason,595386,2016,45.9,14.3,25.9,42.9,57.1,9,21,57,81,85.7,4,28,43,61,
Alfaro, Jorge,595751,2016,61.9,46.2,31.8,57.1,42.9,8,14,67.7,44,53.8,6,13,32.3,21,
Profar, Jurickson,595777,2016,58.8,10.7,25.7,35.8,64.2,63,176,52.4,685,89.1,39,366,47.6,622,
Baez, Javier,595879,2016,68.2,19.5,41.6,39.3,59.1,157,399,57,960,78.9,96,493,43,723,
Goeddel, Tyler,595963,2016,62.7,20.4,26.8,37.2,62.8,42,113,46.9,422,78.3,61,299,53.1,477,
Hedges, Austin,595978,2016,69.4,20.6,42.6,50,50,10,20,49,47,79.4,7,34,51,49,
Lindor, Francisco,596019,2016,69,12.4,28.4,27.2,71.5,104,382,52.8,1347,86.7,103,832,47.2,1205,
Odor, Rougned,596059,2016,69.1,13.5,41.8,38.6,60.3,185,479,52.6,1146,86,96,712,47.4,1031,
Stephenson, Robert,596112,2016,76.2,6.3,23.5,25,50,1,4,44.7,17,87.5,1,16,55.3,21,
Story, Trevor,596115,2016,63.9,21.9,28.2,45.8,54.2,116,253,50.5,896,78.1,123,561,49.5,878,
Swihart, Blake,596119,2016,58.6,12.8,26.8,36.4,63.6,16,44,55.2,164,87.2,10,78,44.8,133,
Vogelbach, Daniel,596129,2016,56.5,23.1,16.7,75,25,3,4,51.1,24,76.9,3,13,48.9,23,
Weaver, Luke,596133,2016,73.1,21.1,28.6,33.3,50,2,6,44.7,21,73.7,4,19,55.3,26,
Sanchez, Gary,596142,2016,60.9,18.3,31.2,50,50,81,162,55.2,519,81.7,47,257,44.8,422,
Sardinas, Luis,596143,2016,65,15.3,35.3,39.2,60,51,130,49,368,82.7,38,249,51,383,
Cuthbert, Cheslor,596144,2016,67.7,15.3,30.1,41.6,58.1,123,296,49,982,84.7,106,693,51,1023,
Kepler, Max,596146,2016,59.3,10.8,29.2,39.2,59.7,105,268,53.1,919,88.6,52,482,46.9,813,
Quinn, Roman,596451,2016,69.4,23.7,20.9,50,46.4,14,28,50,134,71,22,93,50,134,
Franco, Maikel,596748,2016,72.4,16.5,32.3,39.8,60.2,150,377,52.3,1166,83.5,127,770,47.7,1064,
Choi, Ji-Man,596847,2016,63.1,12.4,18.6,40,60,20,50,51.3,269,87.6,20,161,48.7,255,
Bradley Jr., Jackie,598265,2016,63.9,19.7,27.4,41.8,58.2,148,354,51.6,1294,80,153,775,48.4,1212,
O'Brien, Peter,598284,2016,82.1,27.2,42.4,72.9,27.1,43,59,55.4,139,72.8,25,92,44.6,112,
Motter, Taylor,600301,2016,60.4,10.1,25.4,47.1,52.9,24,51,50.5,201,89.9,12,119,49.5,197,
La Stella, Tommy,600303,2016,65.3,15.5,26.7,37.6,62.4,35,93,50.1,348,83.2,35,226,49.9,346,
Severino, Pedro,600474,2016,66.7,7.5,22.7,53.3,46.7,8,15,52.4,66,92.5,3,40,47.6,60,
Nunez, Renato,600524,2016,73.3,9.1,52.8,36.8,63.2,7,19,54.5,36,90.9,2,22,45.5,30,
Candelario, Jeimer,600869,2016,64,18.8,32.3,40,60,4,10,55.4,31,81.3,3,16,44.6,25,
Rondon, Jose,602922,2016,73.5,11.1,28.6,8.3,91.7,1,12,46.2,42,86.1,4,36,53.8,49,
Ahmed, Nick,605113,2016,75.1,15,27.5,39.1,59.4,54,138,48,502,83.8,61,408,52,543,
Asche, Cody,605125,2016,66.2,11.3,25.8,39.2,60.8,49,125,53.1,485,88.4,32,284,46.9,429,
Barnes, Austin,605131,2016,76.4,18.2,22.2,50,50,8,16,50,72,80,10,55,50,72,
Bell, Josh,605137,2016,70.6,13.4,22.1,31.5,68.5,23,73,53.6,331,86.6,27,202,46.4,286,
Betts, Mookie,605141,2016,57.5,6.9,23.1,34.6,64.7,102,295,47.1,1277,93,57,824,52.9,1432,
Bradley, Archie,605151,2016,40.6,30.2,32.4,41.7,41.7,10,24,41.1,74,62.8,13,43,58.9,106,
Coats, Jason,605183,2016,68.8,12.5,33.7,53.3,43.3,16,30,48.9,89,87.5,8,64,51.1,93,
Davies, Zach,605200,2016,60.2,23.4,31.6,41.7,45.8,10,24,37.3,76,71.4,18,77,62.7,128,
Featherston, Taylor,605227,2016,76.2,33.3,32,50,50,8,16,44.2,50,66.7,16,48,55.8,63,
Fernandez, Jose,605228,2016,66.3,29.2,47.6,42.5,42.5,17,40,46.2,84,70.8,19,65,53.8,98,
Finnegan, Brandon,605232,2016,67,26,38.1,35,65,14,40,49.1,105,69.9,19,73,50.9,109,
Morgan, Adam,605388,2016,47.5,13.8,36.5,43.5,52.2,10,23,50.8,63,75.9,4,29,49.2,61,
Nola, Aaron,605400,2016,41.9,19.4,17.9,60,10,6,10,39.4,56,63.9,7,36,60.6,86,
Panik, Joe,605412,2016,63.6,6.7,21.7,23.1,75.1,52,225,52.5,1038,93.1,40,598,47.5,940,
Reed, Michael,605439,2016,54.5,12.5,25.8,62.5,37.5,5,8,41.3,31,87.5,3,24,58.7,44,
Ross, Joe,605452,2016,67.8,25.4,30.6,53.8,38.5,14,26,49.4,85,72.9,15,59,50.6,87,
Smith, Mallex,605480,2016,69.7,16,29.1,49.1,43.9,56,114,51,392,74.4,42,262,49,376,
Spangenberg, Cory,605486,2016,66,20.3,29.4,56,40,14,25,46.7,85,79.7,13,64,53.3,97,
Tomlinson, Kelby,605509,2016,71.4,11,29,38.1,58.7,24,63,51.7,217,84.1,16,145,48.3,203,
Tucker, Preston,605512,2016,70,26.3,28.8,45.2,54.8,38,84,49.9,292,73.2,54,205,50.1,293,
Wisler, Matt,605538,2016,61,21.3,39.5,40,43.3,12,30,43.2,76,68.9,13,61,56.8,100,
Arcia, Orlando,606115,2016,70.7,25.2,35,37,61.6,51,138,49.7,394,74.8,71,282,50.3,399,
Perdomo, Luis,606131,2016,68,21.6,40.7,50,41.7,12,24,44,59,64.7,11,51,56,75,
Tapia, Raimel,606132,2016,66.2,12.8,48,36.1,61.1,13,36,51.4,75,76.6,6,47,48.6,71,
Hernandez, Teoscar,606192,2016,65,22.4,22.9,50.9,47.4,29,57,53.1,249,75.5,32,143,46.9,220,
Peraza, Jose,606299,2016,66.7,7.9,36.2,23.9,75.5,38,159,49.1,439,90.5,24,304,50.9,456,
Marte, Ketel,606466,2016,64.1,12.9,33.2,29.7,67.1,85,286,49.1,862,85.5,74,573,50.9,894,
Nimmo, Brandon,607043,2016,70.3,15.5,26.6,36.7,63.3,18,49,52.7,184,84.5,18,116,47.3,165,
Peterson, Jace,607054,2016,60.2,10,22.2,37.8,62.2,68,180,50.5,811,88.5,48,479,49.5,796,
Rea, Colin,607067,2016,68.5,26,36.4,54.2,33.3,13,24,47.5,66,58,13,50,52.5,73,
Turner, Trea,607208,2016,63.4,13.8,31.8,42.7,56.8,85,199,50.7,625,86,53,385,49.3,607,
Reed, AJ,607223,2016,65.6,23.5,23.9,54.9,45.1,39,71,53.4,297,76.5,40,170,46.6,259,
Gsellman, Robert,607229,2016,31.3,0,26.9,0,42.9,0,7,44.8,26,50,0,10,55.2,32,
Gant, John,607231,2016,73.3,9.1,75,66.7,33.3,2,3,21.1,4,81.8,1,11,78.9,15,
Smith, Kevan,607345,2016,70,10.7,29.2,57.1,42.9,4,7,37.5,24,89.3,3,28,62.5,40,
Collins, Tyler,607385,2016,69.4,22.5,24.7,30.1,69.9,22,73,50.1,295,77,46,204,49.9,294,
Rua, Ryan,607387,2016,63.8,21.5,27,43.6,56.4,61,140,50.8,519,78.2,69,321,49.2,503,
Lugo, Seth,607625,2016,53.3,6.3,40,21.4,71.4,3,14,53.8,35,87.5,1,16,46.2,30,
Pillar, Kevin,607680,2016,61.1,9.5,37.6,33.4,64.8,131,392,49.1,1043,89.4,63,661,50.9,1081,
Stallings, Jacob,607732,2016,71.1,11.1,22.6,42.9,57.1,3,7,44.9,31,88.9,3,27,55.1,38,
Williamson, Mac,607776,2016,69.2,27.4,28.8,56,44,47,84,53.6,292,72.6,48,175,46.4,253,
Rivera, T.J.,608061,2016,71.5,13,39,42.5,57.5,34,80,51.5,205,87,18,138,48.5,193,
Ramirez, Jose,608070,2016,62,10.3,26.3,18,82,58,322,50.4,1223,89.2,77,747,49.6,1205,
Bregman, Alex,608324,2016,67.9,22.3,24,40.2,59.8,39,97,48.4,404,77.7,65,292,51.6,430,
Gallo, Joey,608336,2016,71.9,43.5,22.2,66.7,33.3,12,18,55.9,81,56.5,20,46,44.1,64,
Kelly, Carson,608348,2016,76.2,18.8,17.4,50,50,2,4,52.3,23,81.3,3,16,47.7,21,
Russell, Addison,608365,2016,72,23,28.7,44.2,55.6,151,342,51.1,1193,76.7,189,823,48.9,1143,
Seager, Corey,608369,2016,78.7,14.9,28.7,44.5,55.5,167,375,52.5,1306,85.1,138,929,47.5,1180,
Wacha, Michael,608379,2016,66.1,37.5,22.9,25,75,4,16,39.1,70,48.6,27,72,60.9,109,
Mazara, Nomar,608577,2016,61.2,12.4,31.6,32.5,67.5,130,400,56.1,1266,87.6,75,607,43.9,992,
Murphy, Tom,608596,2016,64.2,28.6,30.7,31.4,68.6,11,35,51.1,114,71.4,20,70,48.9,109,
Jankowski, Travis,608671,2016,60.3,13.9,22.3,36.6,60,64,175,50.3,784,80.3,65,468,49.7,776,
Plawecki, Kevin,608700,2016,65.6,13.8,29.5,33.7,65.1,29,86,51.4,292,86.2,25,181,48.6,276,
Refsnyder, Rob,608701,2016,57.7,8.4,24.8,36.3,63.7,29,80,48,323,91.1,17,202,52,350,
Reynolds, Matt,608703,2016,62.4,17.4,28.5,49.1,50.9,27,55,49.9,193,81,21,121,50.1,194,
Mondesi, Adalberto,609275,2016,66.9,19.3,43.8,55.6,41,65,117,51.8,267,78.3,32,166,48.2,248,
Garcia, Adonis,611177,2016,69.6,14.8,36.6,32.8,67.2,123,375,51.6,1025,85.2,99,669,48.4,961,
Chen, Wei-Yin,612672,2016,75.5,23,58.9,27.3,63.6,9,33,36.4,56,70.3,17,74,63.6,98,
Swanson, Dansby,621020,2016,61.4,15.6,26.5,46.2,51.3,36,78,49.2,294,84.4,29,186,50.8,303,
Taylor, Chris,621035,2016,74.3,21.2,20.4,69.6,30.4,16,23,44.7,113,78.8,22,104,55.3,140,
Correa, Carlos,621043,2016,63.5,17.2,28,38.3,61.7,151,394,53.3,1409,82.5,135,783,46.7,1233,
Reyes, Alex,621052,2016,70.6,33.3,42.9,44.4,44.4,4,9,38.2,21,54.2,8,24,61.8,34,
Eflin, Zach,621107,2016,75,23.3,52.9,44.4,38.9,8,18,45.9,34,76.7,7,30,54.1,40,
Dahl, David,621311,2016,73.8,22.2,33.8,47.8,52.2,77,161,52,476,77.5,72,324,48,439,
Buxton, Byron,621439,2016,63.7,21.7,32.4,56.2,40.6,122,217,51.3,669,77,88,405,48.7,636,
Wendle, Joey,621563,2016,69.3,8.8,33.2,27,73,17,63,53.8,190,91.2,10,113,46.2,163,
Olson, Matt,621566,2016,52.4,18.2,20.3,46.2,53.8,6,13,60.4,64,81.8,4,22,39.6,42,
Wood, Alex,622072,2016,60,16.7,29,55.6,33.3,5,9,50.8,31,61.1,3,18,49.2,30,
Thompson, Jake,622097,2016,70.3,23.1,24.1,42.9,57.1,3,7,43.9,29,53.8,6,26,56.1,37,
Duffy, Matt,622110,2016,63.8,8,26.7,33.7,65.2,62,184,48.9,690,91.3,37,460,51.1,721,
Maxwell, Bruce,622194,2016,68.4,20.6,26.4,31.6,68.4,18,57,51.2,216,78,29,141,48.8,206,
Margot, Manuel,622534,2016,64.6,17.6,30.2,36.8,63.2,7,19,44.4,63,82.4,9,51,55.6,79,
Brown, Trevor,623143,2016,68.4,15.3,28.3,50.5,49.5,46,91,46.9,322,84.3,38,249,53.1,364,
Kivlehan, Patrick,623182,2016,68.3,32.1,41.7,56,44,14,25,59.4,60,67.9,9,28,40.6,41,
Conforto, Michael,624424,2016,63,13.7,27.1,43.8,56.2,89,203,53,748,86.3,57,417,47,662,
Frazier, Adam,624428,2016,67.2,13.2,29.2,35.8,63,29,81,44.3,277,86.8,31,234,55.7,348,
