last_name, first_name,player_id,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,
Cain, Lorenzo,456715,2016,67,14.2,30,41.7,58.3,115,276,52.2,920,85.8,80,565,47.8,843,
Solano, Donovan,456781,2016,60.9,14.3,21.4,22.2,77.8,2,9,47.7,42,85.7,4,28,52.3,46,
Saltalamacchia, Jarrod,457454,2016,65.6,27.9,24.1,55,45,82,149,52.5,617,72.1,102,366,47.5,558,
De Aza, Alejandro,457477,2016,64.2,11.6,25,52.8,46.5,76,144,53,576,86.9,38,328,47,511,
Pacheco, Jordan,457574,2016,68.5,24.3,31.5,27.6,72.4,8,29,46,92,75.7,18,74,54,108,
McCutchen, Andrew,457705,2016,68.9,18.9,24,43.8,56.2,146,333,50.6,1387,81.1,176,932,49.4,1353,
Jackson, Austin,457706,2016,61.5,14.3,23.3,35.8,64.2,34,95,47.2,407,85.7,40,280,52.8,455,
Upton, Justin,457708,2016,64.6,24.7,23.4,47.7,52.3,145,304,49.9,1299,75.1,208,842,50.1,1303,
Maybin, Cameron,457727,2016,60.3,11.6,23,44.3,53.9,74,167,48.1,726,87.3,55,473,51.9,784,
Turner, Justin,457759,2016,63.8,16.1,23.6,25.8,73.8,72,279,48.1,1184,83.8,131,815,51.9,1278,
Posey III, Buster,457763,2016,66.6,9.6,26.5,25.4,74.3,77,303,49.8,1143,90.4,74,769,50.2,1154,
Jennings, Desmond,457775,2016,60.7,28.7,23.2,36.7,63.3,36,98,47.3,422,70.3,82,286,52.7,471,
Espinosa, Danny,457787,2016,70.2,22,32.2,50.1,47.5,208,415,55.8,1288,75.2,158,717,44.2,1022,
Weeks, Jemile,457789,2016,64.7,14.3,23.8,33.3,62.5,8,24,45.9,101,84.4,11,77,54.1,119,
Bruce, Jay,457803,2016,76.1,19.5,32,37.8,62,156,413,56,1290,80,150,770,44,1012,
Happ, J.A.,457918,2016,61.9,15.4,0,,,0,0,27.6,8,76.9,2,13,72.4,21,
Janish, Paul,457926,2016,71.6,16.7,18.3,45.5,54.5,5,11,47.2,60,81.3,8,48,52.8,67,
Votto, Joey,458015,2016,66.8,16.5,19.9,24.4,74.3,76,311,53.9,1560,83.3,147,892,46.1,1336,
Coghlan, Chris,458085,2016,64.7,16.1,26.3,43.7,56.3,76,174,55.6,662,83.6,55,342,44.4,529,
Brignac, Reid,458582,2016,71.2,14.3,33.3,47.4,52.6,9,19,49.1,57,85.7,6,42,50.9,59,
Rasmus, Colby,458675,2016,70.6,22.5,27.1,57.8,41.8,141,244,53.5,899,75.7,124,551,46.5,781,
Gardner, Brett,458731,2016,53.7,10.6,22.7,24.4,73.7,76,312,53,1374,88.5,69,654,47,1217,
Saunders, Michael,459431,2016,68.3,19.6,23.2,54.5,44.5,158,290,52.4,1249,80.3,152,775,47.6,1134,
Joyce, Matt,459964,2016,63.7,25.7,15.7,53.2,46.8,59,111,54.4,708,74.1,97,378,45.6,593,
Hundley, Nick,460026,2016,75,16.9,24.7,51.7,48.3,74,143,48.4,578,82.9,78,461,51.6,615,
Pennington, Cliff,460060,2016,71.5,21.1,26.6,38.3,58.5,36,94,47.5,353,77.8,59,279,52.5,390,
Braun, Ryan,460075,2016,72.2,12.4,34.9,34.6,65.4,142,410,56.8,1176,87.6,80,647,43.2,896,
Butera, Drew,460077,2016,67.8,18.2,27.7,44.3,55.7,31,70,46.4,253,80.8,36,198,53.6,292,
Gordon, Alex,460086,2016,65.3,19.7,23.9,53.4,46.6,142,266,52.5,1115,80.1,130,659,47.5,1009,
Reimold, Nolan,460099,2016,61.9,23.9,21.1,42.2,57.8,43,102,50.2,484,76.1,71,297,49.8,480,
Gimenez, Chris,460269,2016,60.5,18.4,34.2,38.9,57.9,37,95,47,278,78.4,35,190,53,314,
Gomez, Carlos,460576,2016,72.4,25,34.5,48.4,49.7,148,306,51,887,73.4,154,617,49,852,
Moss, Brandon,461235,2016,73.2,23.6,32.1,57.5,42.2,184,320,54.6,997,76.4,143,607,45.4,829,
Kemp, Matt,461314,2016,73.4,20.6,38.3,44.6,55.4,219,491,52.7,1283,79.4,174,845,47.3,1151,
Venable, Will,461416,2016,78.8,30.8,21.7,40,60,2,5,41.1,23,69.2,8,26,58.9,33,
Gonzalez, Gio,461829,2016,72.5,31.1,53.3,65,27.5,26,40,42.4,75,66.2,23,74,57.6,102,
Plouffe, Trevor,461858,2016,64.6,14.5,24.8,34.6,65.4,54,156,48.3,628,84.8,63,434,51.7,672,
Romine, Andrew,461865,2016,77.5,17.2,35.7,43.2,55.3,57,132,50.7,370,81.4,48,279,49.3,360,
Andrus, Elvis,462101,2016,60.1,10.2,24.9,31.5,67.3,78,248,47.7,994,89.2,67,655,52.3,1089,
Petit, Gregorio,463610,2016,66.7,19,36.2,39.2,58,56,143,49.6,395,79.5,51,268,50.4,402,
Cervelli, Francisco,465041,2016,60.4,16.6,15.8,42.9,56.3,54,126,49.9,796,83,80,483,50.1,800,
Florimon, Pedro,465753,2016,68.8,36.4,16.2,50,50,3,6,36.6,37,61.4,16,44,63.4,64,
Cabrera, Melky,466320,2016,66.8,8.8,34.1,22.5,77.3,99,440,54.3,1290,91,64,724,45.7,1084,
Bonifacio, Emilio,466988,2016,65.8,20,36.8,57.1,42.9,16,28,50,76,76,10,50,50,76,
Ramos, Wilson,467092,2016,71.2,12.8,28.2,35.4,64.6,92,260,49.3,921,87.2,86,674,50.7,947,
Nova, Ivan,467100,2016,58.6,20.6,54.3,84.2,10.5,16,19,37.6,35,67.6,7,34,62.4,58,
Santana, Carlos,467793,2016,60.5,13.9,19,35.1,64.9,95,271,51.4,1430,85.8,114,818,48.6,1351,
Parra, Gerardo,467827,2016,73.8,11.9,38.4,37.4,60.7,96,257,51.1,669,86,56,472,48.9,640,
Chacin, Jhoulys,468504,2016,66.7,10,31.3,20,80,1,5,51.6,16,80,1,10,48.4,15,
Montero, Miguel,471083,2016,76.6,21.4,24.4,34,66,49,144,52.1,591,78.6,89,416,47.9,543,
Gonzalez, Carlos,471865,2016,73,22.3,34.4,44.5,55,200,449,56.2,1307,77.6,166,745,43.8,1020,
Valbuena, Luis,472528,2016,69.5,18.1,21.9,43.2,54.5,76,176,54,803,79.8,86,476,46,685,
McBride, Matt,473724,2016,62.6,10.5,33.8,44.4,55.6,12,27,46.8,80,89.5,6,57,53.2,91,
Conger, Hank,474233,2016,66.9,25.6,33.2,47.6,51.5,49,103,54.1,310,73.3,45,176,45.9,263,
Snyder, Brandon,474319,2016,66.7,19.1,35.6,55.6,44.4,20,36,49.8,101,80.9,13,68,50.2,102,
De Jesus Jr., Ivan,474443,2016,63.7,16,26.2,33.3,66.7,43,129,49.7,493,83.3,51,318,50.3,499,
Mercer, Jordy,474568,2016,60.2,9.4,27.6,26.5,72.8,86,324,51.3,1176,89.9,63,672,48.7,1116,
Belt, Brandon,474832,2016,77.9,17.1,23.5,46.2,52.9,166,359,56.1,1526,82.7,159,931,43.9,1195,
Borbon, Julio,474865,2016,82.6,15.8,50,33.3,66.7,3,9,43.9,18,73.7,3,19,56.1,23,
Carter, Chris,474892,2016,66.5,29,24.9,59.1,40.9,218,369,54.7,1484,71,237,817,45.3,1228,
Van Slyke, Scott,475100,2016,66.7,20,29.3,37.9,62.1,22,58,50.4,198,80,26,130,49.6,195,
Alonso, Yonder,475174,2016,68.2,10.6,25.8,35.1,64.5,88,251,51.6,971,89.2,66,622,48.4,912,
Wood, Travis,475243,2016,59.3,25,23.8,80,20,4,5,43.8,21,75,4,16,56.3,27,
Flaherty, Ryan,475247,2016,65.5,17.3,24.7,38.9,61.1,35,90,52,364,81.8,38,220,48,336,
Smoak, Justin,475253,2016,65,21,28.5,46.2,53.8,98,212,54.2,745,79,86,409,45.8,629,
Phelps, David,475479,2016,56.7,5.9,33.3,33.3,50,2,6,37.5,18,82.4,1,17,62.5,30,
Zimmerman, Ryan,475582,2016,56.9,16.8,32.2,35.1,64.9,110,313,53.2,973,83,82,487,46.8,856,
Hellickson, Jeremy,476451,2016,55.1,14,28.4,35.5,51.6,11,31,41.1,109,76.7,12,86,58.9,156,
Lowrie, Jed,476704,2016,69.5,14.3,24.1,28,72,49,175,51.1,725,85.5,69,483,48.9,695,
Alvarez, Pedro,476883,2016,66.1,20.2,30.4,51.7,47.9,138,267,56.6,879,79.8,90,445,43.4,673,
Niese, Jonathon,477003,2016,51.6,8.5,16.7,60,40,6,10,39.7,60,91.5,4,47,60.3,91,
Kershaw, Clayton,477132,2016,55.8,7.5,34.1,45.2,51.6,14,31,48.9,91,83,4,53,51.1,95,
Wallace, Brett,477165,2016,60.5,24.5,26.2,51.6,48.4,82,159,55.5,607,75.5,72,294,44.5,486,
Davis, Ike,477195,2016,72,38.9,46.2,25,75,3,12,51,26,61.1,7,18,49,25,
Carrera, Ezequiel,485567,2016,62.2,17.2,26.4,32.5,63.9,55,169,51.3,639,79.6,65,377,48.7,606,
Avila, Alex,488671,2016,60.2,32,14.6,63.4,36.6,45,71,51.3,486,68,89,278,48.7,462,
Barnes, Brandon,488681,2016,73.7,22.9,36.4,43.3,55.2,29,67,46.3,184,75.2,36,157,53.7,213,
