last_name, first_name,player_id,year,xba,out_zone_swing,in_zone_swing,
Cervelli, Francisco,465041,2016,.239,126,483,
Florimon, Pedro,465753,2016,.105,6,44,
Cabrera, Melky,466320,2016,.273,440,724,
Bonifacio, Emilio,466988,2016,.219,28,50,
Ramos, Wilson,467092,2016,.273,260,674,
Nova, Ivan,467100,2016,.051,19,34,
Santana, Carlos,467793,2016,.273,271,818,
Parra, Gerardo,467827,2016,.243,257,472,
Chacin, Jhoulys,468504,2016,.291,5,10,
Montero, Miguel,471083,2016,.191,144,416,
Gonzalez, Carlos,471865,2016,.271,449,745,
Valbuena, Luis,472528,2016,.222,176,476,
McBride, Matt,473724,2016,.231,27,57,
Conger, Hank,474233,2016,.171,103,176,
Snyder, Brandon,474319,2016,.239,36,68,
De Jesus Jr., Ivan,474443,2016,.255,129,318,
Mercer, Jordy,474568,2016,.237,324,672,
Belt, Brandon,474832,2016,.258,359,931,
Borbon, Julio,474865,2016,.193,9,19,
Carter, Chris,474892,2016,.229,369,817,
Van Slyke, Scott,475100,2016,.270,58,130,
Alonso, Yonder,475174,2016,.256,251,622,
Wood, Travis,475243,2016,.199,5,16,
Flaherty, Ryan,475247,2016,.200,90,220,
Smoak, Justin,475253,2016,.225,212,409,
Phelps, David,475479,2016,.195,6,17,
Zimmerman, Ryan,475582,2016,.241,313,487,
Hellickson, Jeremy,476451,2016,.148,31,86,
Lowrie, Jed,476704,2016,.247,175,483,
Alvarez, Pedro,476883,2016,.258,267,445,
Niese, Jonathon,477003,2016,.067,10,47,
Kershaw, Clayton,477132,2016,.165,31,53,
Wallace, Brett,477165,2016,.203,159,294,
Davis, Ike,477195,2016,.189,12,18,
Carrera, Ezequiel,485567,2016,.213,169,377,
Avila, Alex,488671,2016,.199,71,278,
Barnes, Brandon,488681,2016,.230,67,157,
Bourjos, Peter,488721,2016,.219,239,476,
Brantley Jr., Michael,488726,2016,.231,20,57,
Cashner, Andrew,488768,2016,.112,32,41,
Castro, Jason,488771,2016,.218,181,483,
d'Arnaud, Chase,488818,2016,.219,164,258,
Escobar, Yunel,488862,2016,.270,263,681,
Gosewisch, Tuffy,488912,2016,.190,55,119,
Miley, Wade,489119,2016,.132,5,18,
Morrison, Logan,489149,2016,.258,242,470,
Recker, Anthony,489232,2016,.310,48,119,
Rosales, Adam,489267,2016,.202,121,321,
Scruggs, Xavier,489305,2016,.207,23,89,
Thole, Josh,489365,2016,.190,60,180,
Garza, Matt,490063,2016,.056,29,40,
